,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,debut,birthCountry,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
113,bettsmo01,2016,BOS,Mookie,Betts,180,69,R,AL,158.0,214.0,672.0,31.0,113.0,26.0,122.0,42.0,5.0,4.0,49.0,80.0,1.0,2.0,0.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,157.0,0.0,2014-06-29,USA,rf,"['rf', 'of']",0.31845238095238093,0.363013698630137,136.0,0.5342261904761905,0.8972398891063275,0.4776785714285714,0.6595744680851063,0.991869918699187,0.849624060150376,0.41935483870967744,1.0,3.398101857072918
608,harpebr03,2016,WAS,Bryce,Harper,215,75,L,NL,147.0,123.0,506.0,24.0,86.0,21.0,84.0,24.0,2.0,10.0,108.0,117.0,20.0,3.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,143.0,0.0,2012-04-28,USA,rf,"['rf', 'of']",0.24308300395256918,0.37320574162679426,73.0,0.4407114624505929,0.8139172040773872,0.3646245059288538,0.5106382978723404,0.6829268292682927,0.6466165413533834,0.3387096774193548,1.0,2.5435158518422254
172,bruceja01,2016,CIN,Jay,Bruce,225,75,L,NL,147.0,135.0,539.0,33.0,99.0,4.0,74.0,27.0,6.0,2.0,44.0,126.0,7.0,3.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,138.0,138.0,2.0,2008-05-27,USA,rf,"['rf', 'of']",0.2504638218923933,0.3089983022071307,69.0,0.5064935064935064,0.8154918087006371,0.37569573283859,0.7021276595744681,0.6016260162601627,0.7443609022556391,0.06451612903225806,1.0,2.488326439961118
539,gonzaca01,2016,COL,Carlos,Gonzalez,220,73,L,NL,150.0,174.0,584.0,25.0,100.0,2.0,87.0,42.0,2.0,2.0,46.0,129.0,6.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,148.0,0.0,2008-05-30,Venezuela,rf,"['rf', 'of']",0.2979452054794521,0.34968354430379744,105.0,0.5051369863013698,0.8548205306051673,0.44691780821917815,0.5319148936170213,0.7073170731707317,0.7518796992481203,0.03225806451612903,1.0,2.4702875387711805
207,calhoko01,2016,LAA,Kole,Calhoun,205,70,L,AL,157.0,161.0,594.0,18.0,75.0,2.0,91.0,35.0,5.0,3.0,67.0,118.0,0.0,6.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,154.0,2.0,2012-05-22,USA,rf,"['rf', 'of']",0.27104377104377103,0.3482142857142857,103.0,0.4377104377104377,0.7859247234247234,0.4065656565656566,0.3829787234042553,0.7398373983739838,0.5639097744360902,0.03225806451612903,1.0,2.125549617296115
827,martijd02,2016,DET,J. D.,Martinez,220,75,R,AL,120.0,141.0,460.0,22.0,68.0,1.0,69.0,35.0,2.0,2.0,49.0,128.0,2.0,3.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,118.0,1.0,2011-07-30,USA,rf,"['rf', 'of']",0.3065217391304348,0.3733075435203095,82.0,0.5347826086956522,0.9080901522159617,0.4597826086956522,0.46808510638297873,0.5609756097560976,0.5112781954887218,0.016129032258064516,1.0,2.0162505525815146
1312,stantmi03,2016,MIA,Giancarlo,Stanton,245,78,R,NL,119.0,99.0,413.0,27.0,74.0,0.0,56.0,20.0,1.0,0.0,50.0,140.0,5.0,4.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,106.0,2.0,2010-06-08,USA,rf,"['rf', 'of']",0.2397094430992736,0.326226012793177,51.0,0.4891041162227603,0.8153301290159373,0.35956416464891044,0.574468085106383,0.45528455284552843,0.556390977443609,0.0,1.0,1.9457077800444311
88,bautijo02,2016,TOR,Jose,Bautista,205,72,R,AL,116.0,99.0,423.0,22.0,69.0,2.0,68.0,24.0,1.0,2.0,87.0,103.0,1.0,3.0,0.0,4.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,91.0,91.0,26.0,2004-04-04,D.R.,rf,"['rf', 'of', 'dh']",0.23404255319148937,0.3655705996131528,52.0,0.4515366430260047,0.8171072426391575,0.35106382978723405,0.46808510638297873,0.5528455284552846,0.518796992481203,0.03225806451612903,1.0,1.9230495216228292
814,markani01,2016,ATL,Nick,Markakis,215,73,L,NL,158.0,161.0,599.0,13.0,89.0,0.0,67.0,38.0,0.0,2.0,71.0,101.0,9.0,5.0,0.0,9.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,150.0,150.0,5.0,2006-04-03,USA,rf,"['rf', 'of']",0.2687813021702838,0.34649122807017546,110.0,0.3973288814691152,0.7438201095392907,0.4031719532554257,0.2765957446808511,0.5447154471544715,0.6691729323308271,0.0,1.0,1.8936560774215754
1015,pencehu01,2016,SFN,Hunter,Pence,220,76,R,NL,106.0,114.0,395.0,13.0,57.0,1.0,58.0,23.0,1.0,1.0,43.0,95.0,1.0,1.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,102.0,0.0,2007-04-28,USA,rf,"['rf', 'of']",0.28860759493670884,0.3574660633484163,77.0,0.4506329113924051,0.8080989747408214,0.43291139240506327,0.2765957446808511,0.4715447154471545,0.42857142857142855,0.016129032258064516,1.0,1.625752313362562
1133,reddijo01,2016,OAK,Josh,Reddick,195,74,L,AL,68.0,72.0,243.0,8.0,28.0,5.0,33.0,11.0,1.0,0.0,28.0,34.0,5.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0,2.0,2009-07-31,USA,rf,"['rf', 'of']",0.2962962962962963,0.36764705882352944,52.0,0.448559670781893,0.8162067296054225,0.4444444444444444,0.1702127659574468,0.2682926829268293,0.21052631578947367,0.08064516129032258,0.7948,0.9331916652006891
266,choosh01,2016,TEX,Shin-Soo,Choo,210,71,L,AL,48.0,43.0,178.0,7.0,17.0,6.0,27.0,7.0,0.0,3.0,25.0,46.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,4.0,2005-04-21,South Korea,rf,"['rf', 'of']",0.24157303370786518,0.35714285714285715,29.0,0.398876404494382,0.7560192616372392,0.3623595505617978,0.14893617021276595,0.21951219512195122,0.12781954887218044,0.0967741935483871,0.5608000000000001,0.53578924998422
1134,reddijo01,2016,LAN,Josh,Reddick,195,74,L,NL,47.0,40.0,155.0,2.0,9.0,3.0,20.0,6.0,0.0,3.0,11.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,2009-07-31,USA,rf,"['rf', 'of']",0.25806451612903225,0.3072289156626506,32.0,0.33548387096774196,0.6427127866303926,0.3870967741935484,0.0425531914893617,0.16260162601626016,0.06766917293233082,0.04838709677419355,0.478,0.338571157751922
712,judgeaa01,2016,NYA,Aaron,Judge,255,79,R,AL,27.0,15.0,84.0,4.0,10.0,0.0,10.0,2.0,0.0,1.0,9.0,42.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,2016-08-13,USA,rf,"['rf', 'of']",0.17857142857142858,0.2631578947368421,9.0,0.34523809523809523,0.6083959899749374,0.2678571428571429,0.0851063829787234,0.08130081300813008,0.07518796992481203,0.0,0.22240000000000001,0.113302193470183
1150,renfrhu01,2016,SDN,Hunter,Renfroe,220,73,R,NL,11.0,13.0,35.0,4.0,14.0,0.0,8.0,3.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,2016-09-21,USA,rf,[],0.37142857142857144,0.3888888888888889,6.0,0.8,1.1888888888888889,0.5571428571428572,0.0851063829787234,0.06504065040650407,0.10526315789473684,0.0,0.1,0.08125530484228216
39,alvarda02,2016,BAL,Dariel,Alvarez,180,74,R,AL,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2015-08-28,Cuba,rf,[],0.3333333333333333,0.5,0.0,0.6666666666666666,1.1666666666666665,0.5,0.0,0.0,0.0,0.0,0.1,0.05
749,lakeju01,2016,TOR,Junior,Lake,230,74,R,AL,22.0,7.0,35.0,1.0,2.0,1.0,5.0,3.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,2013-07-19,D.R.,rf,"['rf', 'of']",0.2,0.28205128205128205,3.0,0.37142857142857144,0.6534798534798535,0.30000000000000004,0.02127659574468085,0.04065040650406504,0.015037593984962405,0.016129032258064516,0.1,0.03930936284917729
369,doziehu01,2016,KCA,Hunter,Dozier,220,76,R,AL,8.0,4.0,19.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,2016-09-12,USA,rf,[],0.21052631578947367,0.2857142857142857,3.0,0.2631578947368421,0.5488721804511278,0.3157894736842105,0.0,0.032520325203252036,0.007518796992481203,0.0,0.1,0.03558285958799438
55,arciaos01,2016,MIA,Oswaldo,Arcia,225,72,L,NL,16.0,5.0,45.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,2013-04-15,Venezuela,rf,"['rf', 'of']",0.1111111111111111,0.14893617021276595,2.0,0.26666666666666666,0.4156028368794326,0.16666666666666666,0.0425531914893617,0.016260162601626018,0.03007518796992481,0.0,0.1,0.02555552087275792
954,olsonma02,2016,OAK,Matt,Olson,230,77,L,AL,11.0,2.0,21.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2016-09-12,USA,rf,[],0.09523809523809523,0.32142857142857145,1.0,0.14285714285714285,0.4642857142857143,0.14285714285714285,0.0,0.024390243902439025,0.0,0.0,0.1,0.016724738675958188
289,cowgico01,2016,CLE,Collin,Cowgill,190,69,R,AL,9.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,2011-07-26,USA,rf,[],0.08333333333333333,0.21428571428571427,1.0,0.08333333333333333,0.2976190476190476,0.125,0.0,0.0,0.0,0.0,0.1,0.0125
